generation,s0d0,s0d1,s0d2,s0d3,s1d0,s1d1,s1d2,s1d3,s2d0,s2d1,s2d2,s2d3,s3d0,s3d1,s3d2,s3d3,s4d0,s4d1,s4d2,s4d3,s5d0,s5d1,s5d2,s5d3,jsd_sym0,jsd_sym1,jsd_sym2,jsd_sym3,jsd_sym4,jsd_sym5,trajectory_jsd,contrast_01,contrast_02,contrast_03,contrast_04,contrast_05,contrast_12,contrast_13,contrast_14,contrast_15,contrast_23,contrast_24,contrast_25,contrast_34,contrast_35,contrast_45
11070,12051,1162,0,0,126143,13635,0,0,545448,56707,0,0,31845,3216,0,0,11197,1087,0,0,52711,5803,0,0,0.2349,0.2204,0.1969,0.0922,0.0868,0.0525,0.0340,0.0001,0.0001,0.0000,0.0000,0.0002,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0002
11080,8891,3673,0,0,118182,67920,0,0,380404,170518,0,0,22254,8666,0,0,8032,3045,0,0,43545,24667,0,0,0.2512,0.2190,0.2030,0.0927,0.0777,0.0425,0.0396,0.0030,0.0002,0.0001,0.0002,0.0027,0.0017,0.0041,0.0047,0.0000,0.0005,0.0007,0.0015,0.0000,0.0038,0.0043
11090,14002,4291,0,0,123267,44188,0,0,435561,129230,0,0,22718,5768,0,0,9721,2457,0,0,42441,13824,0,0,0.2498,0.2154,0.1969,0.0911,0.0658,0.0457,0.0047,0.0006,0.0000,0.0008,0.0008,0.0001,0.0008,0.0026,0.0027,0.0002,0.0005,0.0005,0.0002,0.0000,0.0013,0.0014
11100,24033,6592,0,0,112888,38786,0,0,439970,132542,0,0,26327,6718,0,0,9717,3233,0,0,40342,11457,0,0,0.2518,0.2175,0.1987,0.0840,0.0608,0.0488,0.0004,0.0011,0.0002,0.0001,0.0008,0.0000,0.0004,0.0019,0.0000,0.0008,0.0006,0.0002,0.0001,0.0015,0.0002,0.0006
11110,17341,6133,0,0,93940,53067,0,0,408248,167448,0,0,19744,6637,0,0,9667,3557,0,0,39745,22292,0,0,0.2507,0.2170,0.1965,0.0725,0.0598,0.0383,0.0040,0.0058,0.0005,0.0001,0.0000,0.0056,0.0028,0.0071,0.0049,0.0000,0.0010,0.0003,0.0027,0.0002,0.0069,0.0047
11120,26510,8000,0,0,97878,33944,0,0,450089,142549,0,0,26662,8164,0,0,15068,4980,0,0,32070,10267,0,0,0.2481,0.2154,0.1903,0.0805,0.0607,0.0429,0.0029,0.0004,0.0001,0.0000,0.0002,0.0001,0.0002,0.0004,0.0001,0.0001,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000
11130,21238,10342,0,0,84573,74408,0,0,346731,183019,0,0,19675,8523,0,0,11261,6701,0,0,25010,20082,0,0,0.2497,0.2176,0.1918,0.0714,0.0516,0.0323,0.0120,0.0103,0.0002,0.0004,0.0011,0.0073,0.0078,0.0146,0.0046,0.0003,0.0011,0.0004,0.0052,0.0028,0.0110,0.0027
11140,25797,6629,0,0,112086,38878,0,0,454174,134141,0,0,25159,6813,0,0,16455,5046,0,0,27041,9119,0,0,0.2454,0.2123,0.1888,0.0661,0.0488,0.0471,0.0133,0.0020,0.0004,0.0001,0.0007,0.0016,0.0006,0.0014,0.0004,0.0000,0.0002,0.0000,0.0004,0.0003,0.0011,0.0002
11150,21174,6464,0,0,108908,40581,0,0,425299,141360,0,0,24492,7175,0,0,13365,4361,0,0,23888,9681,0,0,0.2522,0.2154,0.1888,0.0600,0.0564,0.0445,0.0004,0.0009,0.0002,0.0000,0.0001,0.0019,0.0003,0.0013,0.0004,0.0002,0.0004,0.0000,0.0010,0.0003,0.0025,0.0011
11160,20534,8316,0,0,111817,48301,0,0,407132,161322,0,0,25937,10076,0,0,14904,5887,0,0,24934,9270,0,0,0.2371,0.2066,0.1874,0.0662,0.0605,0.0457,0.0010,0.0001,0.0000,0.0000,0.0000,0.0002,0.0002,0.0003,0.0002,0.0006,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001
