generation,avg_fitness,max_fitness,signals_emitted,iconicity,mutual_info,jsd_no_pred,jsd_pred,silence_corr,sender_fit_corr,traj_fluct_ratio,receiver_fit_corr,response_fit_corr,silence_onset_jsd,silence_move_delta,avg_base_hidden,min_base_hidden,max_base_hidden,avg_signal_hidden,min_signal_hidden,max_signal_hidden,zone_deaths,signal_entropy,freeze_zone_deaths,food_mi
52620,1436.2,3100.0,792422,0.3940,0.0014,0.3393,0.2478,0.1417,0.0000,1.7343,0.7641,-0.2103,0.0000,0.0000,8.6,5,10,5.1,2,15,866,1.6257,613,0.1107
52630,1500.3,3050.0,800998,0.3638,0.0012,0.3365,0.2634,0.0696,0.0228,1.2114,0.7217,-0.2490,0.0000,0.0000,8.6,6,11,5.0,2,16,840,1.6051,503,0.1149
52640,1671.0,3550.0,790860,0.5212,0.0008,0.3299,0.2666,0.1870,0.0000,2.0396,0.7542,-0.2338,0.0000,0.0000,8.6,6,11,5.0,2,18,1055,1.6170,493,0.1133
52650,1669.1,3934.2,832225,0.4721,0.0013,0.3333,0.2476,0.1342,0.0348,2.0393,0.6938,-0.0906,0.0000,0.0000,8.6,5,11,4.8,2,16,915,1.6233,411,0.1077
52660,1459.2,3050.0,827702,0.5143,0.0004,0.3379,0.2873,0.0444,0.0000,2.0663,0.6526,-0.1244,0.0000,0.0000,8.5,5,11,4.5,2,16,804,1.5940,542,0.1187
52670,1787.5,3650.0,833799,0.4442,0.0013,0.3275,0.2638,0.1355,0.0355,2.0469,0.7293,-0.1392,0.0000,0.0000,8.6,7,11,4.4,2,16,988,1.6116,464,0.1159
52680,1443.0,2900.0,800566,0.4656,0.0010,0.3438,0.2739,0.1359,0.0092,2.0832,0.7304,-0.1862,0.0000,0.0000,8.6,6,11,4.2,2,13,899,1.5896,493,0.1191
52690,1693.5,3500.0,808135,0.4816,0.0006,0.3299,0.2601,0.1481,0.0000,1.9784,0.7181,-0.1848,0.0000,0.0000,8.6,6,10,4.3,2,12,959,1.5948,416,0.1048
52700,1692.4,3250.0,819721,0.5546,0.0005,0.3337,0.2549,0.1045,0.0335,1.9478,0.7687,-0.1691,0.0000,0.0000,8.6,5,11,4.3,2,13,962,1.5982,462,0.1036
52710,1479.8,3300.0,785849,0.4528,0.0006,0.3396,0.2677,0.1266,0.0000,2.1615,0.6887,-0.1508,0.0000,0.0000,8.7,5,12,4.4,2,13,940,1.6058,611,0.1106
52720,1550.9,3300.0,798365,0.4362,0.0010,0.3341,0.2674,0.1641,0.0000,2.1970,0.7770,-0.0830,0.0000,0.0000,8.6,6,11,4.5,2,13,1001,1.6171,456,0.1093
52730,1442.4,3150.0,823490,0.4600,0.0007,0.3383,0.2834,0.1335,0.0400,2.2200,0.6701,-0.0956,0.0000,0.0000,8.6,5,10,4.8,2,14,845,1.6357,569,0.1141
52740,1491.3,3350.0,816647,0.4292,0.0014,0.3447,0.2756,0.1964,0.0000,1.3373,0.7155,-0.1185,0.0000,0.0000,8.7,6,11,5.0,2,15,862,1.6501,581,0.1166
52750,1490.6,3350.0,815834,0.4332,0.0009,0.3436,0.2674,0.1810,0.0000,1.3436,0.7743,-0.1536,0.0000,0.0000,8.6,6,11,5.1,2,15,864,1.6712,409,0.1138
52760,1542.5,3450.0,818097,0.5221,0.0005,0.3358,0.2550,0.1854,0.0000,1.3246,0.7710,-0.1862,0.0000,0.0000,8.6,5,10,5.2,2,15,929,1.6616,614,0.1101
52770,1613.4,3250.0,823934,0.5434,0.0007,0.3318,0.2575,0.2623,0.0354,1.3272,0.7754,-0.1224,0.0000,0.0000,8.5,5,10,5.3,2,15,895,1.6832,558,0.1061
52780,1585.5,3300.0,834442,0.4691,0.0012,0.3342,0.2643,0.0881,0.0468,1.3046,0.7570,-0.1732,0.0000,0.0000,8.7,6,11,5.0,2,14,868,1.6525,583,0.1082
52790,1722.3,3950.0,848128,0.5943,0.0005,0.3330,0.2649,0.1680,0.0000,1.6882,0.7007,-0.1545,0.0000,0.0000,8.5,6,10,4.9,2,14,914,1.6516,441,0.1067
52800,1754.4,3500.0,825174,0.5256,0.0009,0.3253,0.2454,0.0891,0.0000,1.6945,0.6870,-0.1563,0.0000,0.0000,8.6,6,10,4.9,2,14,902,1.6494,466,0.1059
52810,1600.2,3150.0,843390,0.5151,0.0006,0.3475,0.2702,0.2066,0.0000,1.3639,0.7332,-0.1918,0.0000,0.0000,8.6,6,11,4.9,2,15,813,1.6396,398,0.1139
52820,1777.6,3686.0,845911,0.4992,0.0008,0.3227,0.2229,0.1355,0.0000,1.3836,0.7556,-0.2081,0.0000,0.0000,8.7,6,11,5.1,2,15,842,1.6401,434,0.1037
52830,1773.4,3700.0,856178,0.5127,0.0007,0.3288,0.2396,0.0678,0.0000,1.3842,0.7591,-0.0893,0.0000,0.0000,8.6,5,11,5.3,2,16,821,1.6638,349,0.1042
52840,1491.9,3300.0,823558,0.4357,0.0008,0.3394,0.2469,0.2030,0.0000,1.3968,0.7439,-0.2371,0.0000,0.0000,8.6,5,11,5.5,2,16,842,1.6715,528,0.1116
52850,1619.8,3400.0,818066,0.4151,0.0008,0.3298,0.2344,0.1342,0.0000,1.4248,0.7424,-0.2140,0.0000,0.0000,8.6,6,11,5.2,2,16,924,1.6431,535,0.1049
52860,1750.3,3750.0,814008,0.4732,0.0012,0.3187,0.2379,0.1016,0.0000,1.4217,0.7266,-0.2242,0.0000,0.0000,8.5,6,10,5.2,2,17,939,1.6348,496,0.1119
52870,1689.8,3500.0,841107,0.5751,0.0004,0.3289,0.2529,0.1196,0.0000,1.3836,0.7680,-0.1781,0.0000,0.0000,8.6,6,10,4.5,2,16,839,1.5883,486,0.1119
52880,1721.6,3479.0,844489,0.5365,0.0003,0.3252,0.2480,0.0954,0.0347,1.4116,0.7467,-0.2177,0.0000,0.0000,8.7,6,11,4.6,2,17,861,1.5869,420,0.1081
52890,1662.0,3300.0,847326,0.3789,0.0020,0.3247,0.2373,0.2097,0.0000,1.4047,0.7626,-0.1830,0.0000,0.0000,8.6,6,12,4.8,2,16,846,1.5909,521,0.1114
52900,1806.7,3600.0,844221,0.5502,0.0008,0.3270,0.2426,0.1262,0.0000,1.8174,0.7291,-0.1183,0.0000,0.0000,8.6,6,11,4.8,2,16,872,1.5985,284,0.1137
52910,1681.2,3300.0,820121,0.4682,0.0009,0.3175,0.2386,0.1313,0.0000,1.7649,0.7792,-0.2107,0.0000,0.0000,8.6,6,11,4.8,2,17,908,1.5809,532,0.1068
52920,1479.6,3100.0,825535,0.3716,0.0009,0.3371,0.2410,0.0979,0.0000,1.7436,0.7193,-0.1483,0.0000,0.0000,8.7,6,11,4.9,2,17,827,1.5994,547,0.1131
52930,1614.6,3300.0,819314,0.3972,0.0007,0.3363,0.2544,0.0970,0.0149,1.7001,0.7477,-0.2627,0.0000,0.0000,8.6,7,12,5.0,2,16,871,1.6149,480,0.1071
52940,1625.2,3250.0,826907,0.4861,0.0011,0.3456,0.2667,0.1128,0.0000,1.7197,0.6628,-0.2100,0.0000,0.0000,8.6,5,11,4.6,2,11,851,1.6046,439,0.1082
52950,1805.2,3650.0,848170,0.6027,0.0005,0.3278,0.2489,0.0936,0.0000,1.7232,0.7416,-0.1465,0.0000,0.0000,8.6,6,11,4.6,2,11,907,1.6055,354,0.1132
