generation,mi_pred_dx,mi_pred_dy,mi_pred_dist,mi_food_dx,mi_food_dy,mi_ally_dist,mi_sig0_str,mi_sig0_dx,mi_sig0_dy,mi_sig1_str,mi_sig1_dx,mi_sig1_dy,mi_sig2_str,mi_sig2_dx,mi_sig2_dy,mi_energy
91,0.0040,0.0068,0.0057,0.0548,0.0034,0.0264,0.0407,0.0764,0.0994,0.3195,0.0604,0.1189,0.0000,0.0000,0.0000,0.0111
92,0.0041,0.0011,0.0057,0.0105,0.0506,0.0241,0.0475,0.1057,0.0803,0.3787,0.0479,0.0818,0.0000,0.0000,0.0000,0.0116
93,0.0066,0.0059,0.0336,0.0156,0.0275,0.0159,0.0352,0.0413,0.0768,0.3101,0.0539,0.0432,0.0000,0.0000,0.0000,0.0334
94,0.0070,0.0068,0.0142,0.0357,0.0383,0.0175,0.0966,0.0443,0.1085,0.2411,0.0998,0.1770,0.0000,0.0000,0.0000,0.0079
95,0.0030,0.0062,0.0062,0.0669,0.1199,0.0054,0.1110,0.0930,0.0668,0.3518,0.2616,0.1894,0.0000,0.0000,0.0000,0.0211
96,0.0208,0.0177,0.0263,0.0244,0.0270,0.0520,0.0875,0.1324,0.1875,0.1626,0.0281,0.0995,0.1531,0.0628,0.1157,0.0085
97,0.0023,0.0029,0.0014,0.0265,0.0231,0.0257,0.2603,0.0501,0.1152,0.2600,0.0863,0.2478,0.0637,0.0233,0.0113,0.0248
98,0.0080,0.0213,0.0148,0.0213,0.0206,0.0158,0.0703,0.0449,0.0399,0.2807,0.1074,0.1522,0.1592,0.0109,0.0096,0.0730
99,0.0152,0.0054,0.0175,0.0122,0.0217,0.0133,0.1649,0.0622,0.1036,0.3556,0.0299,0.0344,0.3515,0.1354,0.1047,0.0082
100,0.0403,0.0353,0.0555,0.0068,0.0417,0.0104,0.0287,0.0556,0.0705,0.1267,0.0732,0.0475,0.0096,0.0000,0.0016,0.0162
101,0.0129,0.0005,0.0391,0.0190,0.0172,0.0278,0.2395,0.0770,0.1385,0.3334,0.0652,0.0828,0.4174,0.0785,0.0541,0.0265
102,0.0279,0.0238,0.0310,0.0123,0.0859,0.0490,0.1008,0.0371,0.2212,0.1231,0.0340,0.0881,0.2608,0.1382,0.1161,0.0366
103,0.0202,0.0127,0.0369,0.0041,0.0348,0.0623,0.1203,0.0522,0.0823,0.1750,0.0182,0.0473,0.3568,0.0771,0.0529,0.0508
104,0.0047,0.0334,0.0116,0.0104,0.0262,0.0306,0.1097,0.0282,0.0272,0.1388,0.0072,0.0789,0.2871,0.0472,0.2063,0.0497
105,0.0147,0.0308,0.0286,0.0054,0.0301,0.0117,0.0181,0.0052,0.0180,0.0919,0.0453,0.1509,0.3088,0.0631,0.2022,0.0351
106,0.0050,0.0063,0.0030,0.0208,0.0216,0.0109,0.0277,0.0223,0.0068,0.1470,0.0609,0.1902,0.2355,0.0492,0.0466,0.0568
107,0.0166,0.0175,0.0457,0.0079,0.0622,0.0326,0.0225,0.0085,0.0148,0.1812,0.0556,0.1092,0.5622,0.0873,0.0802,0.0622
108,0.0095,0.0342,0.0393,0.0014,0.0236,0.0298,0.0309,0.0204,0.0420,0.1172,0.0001,0.0617,0.0000,0.0000,0.0000,0.0461
109,0.0289,0.0129,0.0151,0.0254,0.0748,0.0357,0.1054,0.0212,0.0547,0.3338,0.0632,0.0887,0.3186,0.1139,0.0507,0.0638
110,0.0034,0.0071,0.0086,0.0266,0.0339,0.0570,0.1249,0.0365,0.0293,0.1084,0.0488,0.0363,0.4495,0.1275,0.0863,0.0876
111,0.0725,0.0604,0.1034,0.0149,0.0496,0.0310,0.0346,0.0340,0.0068,0.1190,0.0215,0.0805,0.3351,0.0210,0.0057,0.0578
112,0.0310,0.0064,0.0575,0.0504,0.0557,0.0203,0.0685,0.0702,0.0924,0.1574,0.0367,0.1168,0.0000,0.0000,0.0000,0.0255
113,0.0345,0.0671,0.0479,0.0257,0.1558,0.1149,0.0998,0.0685,0.0718,0.1544,0.0169,0.0609,0.2473,0.0354,0.1089,0.0621
114,0.0047,0.0080,0.0194,0.0094,0.0378,0.0844,0.1296,0.0641,0.0278,0.1561,0.0216,0.1134,0.3569,0.0198,0.1023,0.0600
115,0.0135,0.0033,0.0448,0.0172,0.0600,0.0674,0.3344,0.0523,0.2103,0.2429,0.0325,0.1139,0.3493,0.0044,0.0133,0.1074
116,0.0096,0.0107,0.0366,0.0233,0.1261,0.0350,0.3035,0.0592,0.0845,0.2583,0.0168,0.1771,0.0367,0.0012,0.0089,0.0235
117,0.0212,0.0372,0.1133,0.0378,0.1508,0.0479,0.1791,0.0267,0.1080,0.3131,0.0975,0.1282,0.2598,0.0107,0.0145,0.1029
118,0.0152,0.0345,0.0659,0.0289,0.0217,0.0451,0.1313,0.0602,0.0563,0.1344,0.0147,0.0007,0.4601,0.0634,0.0452,0.2726
119,0.0302,0.0534,0.0888,0.0390,0.0351,0.0538,0.0913,0.0301,0.0662,0.1596,0.0708,0.0598,0.3980,0.0064,0.0012,0.1181
120,0.0249,0.0494,0.0771,0.0229,0.0299,0.0207,0.0325,0.0138,0.0158,0.0985,0.1128,0.0553,0.3480,0.0110,0.0038,0.1658
121,0.0514,0.1151,0.1552,0.0343,0.0810,0.0428,0.1293,0.0457,0.0961,0.2899,0.0808,0.1246,0.1218,0.0035,0.0022,0.1336
